"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"28-Mar-2022","    17181.85","    17235.10","    17003.90","    17222.00","      253240837","        19976.26"
"29-Mar-2022","    17297.20","    17343.65","    17235.70","    17325.30","      235149625","        20305.78"
"30-Mar-2022","    17468.15","    17522.50","    17387.20","    17498.25","      505031841","        28907.47"
"31-Mar-2022","    17519.20","    17559.80","    17435.20","    17464.75","      281111679","        24032.07"
"01-Apr-2022","    17436.90","    17703.70","    17422.70","    17670.45","      291773447","        21132.13"
"04-Apr-2022","    17809.10","    18114.65","    17791.40","    18053.40","      345526502","        38623.94"
"05-Apr-2022","    18080.60","    18095.45","    17921.55","    17957.40","      283453612","        25096.70"
"06-Apr-2022","    17842.75","    17901.00","    17779.85","    17807.65","      328824420","        24252.48"
"07-Apr-2022","    17723.30","    17787.50","    17623.70","    17639.55","      308840215","        26236.91"
"08-Apr-2022","    17698.15","    17842.75","    17600.55","    17784.35","      274447433","        25608.10"
"11-Apr-2022","    17740.90","    17779.05","    17650.95","    17674.95","      251701846","        21001.58"
"12-Apr-2022","    17584.85","    17595.30","    17442.35","    17530.30","      266029060","        23958.77"
"13-Apr-2022","    17599.90","    17663.65","    17457.40","    17475.65","      245061941","        20229.83"
"18-Apr-2022","    17183.45","    17237.75","    17067.85","    17173.65","      376130248","        30154.62"
"19-Apr-2022","    17258.95","    17275.65","    16824.70","    16958.65","      401399563","        35467.13"
"20-Apr-2022","    17045.25","    17186.90","    16978.95","    17136.55","      286069736","        25972.15"
"21-Apr-2022","    17234.60","    17414.70","    17215.50","    17392.60","      285200022","        24999.90"
"22-Apr-2022","    17242.75","    17315.30","    17149.20","    17171.95","      262739740","        23371.70"
"25-Apr-2022","    17009.05","    17054.30","    16888.70","    16953.95","      275685925","        22699.65"
"26-Apr-2022","    17121.30","    17223.85","    17064.45","    17200.80","      261065753","        22079.92"
"27-Apr-2022","    17073.35","    17110.70","    16958.45","    17038.40","      265140480","        25373.80"
"28-Apr-2022","    17189.50","    17322.50","    17071.05","    17245.05","      312914417","        28488.87"
"29-Apr-2022","    17329.25","    17377.65","    17053.25","    17102.55","      336243642","        29582.86"
"02-May-2022","    16924.45","    17092.25","    16917.25","    17069.10","      278155513","        21222.64"
